s_L,s_R,b2,b1,b0,a3,a2,a1,a0
0.0100,0.4400,0.000000,1.021596,1.023376,1.000000,1.052247,1.017230,1.030481
0.0100,0.4500,0.000000,1.020497,1.022279,1.000000,1.049636,1.016428,1.029034
0.0100,0.4600,0.000000,1.017749,1.019128,1.000000,1.042475,1.013829,1.024628
0.0100,0.4700,0.000000,1.016591,1.017937,1.000000,1.039708,1.012955,1.023055
0.0100,0.4800,0.000000,1.014671,1.015874,1.000000,1.035044,1.011412,1.020333
0.0100,0.4900,0.000000,1.012829,1.013884,1.000000,1.030576,1.009933,1.017712
0.0100,0.5000,0.000000,1.012191,1.013156,1.000000,1.029120,1.009441,1.016868
0.0200,0.0000,0.000000,1.012252,1.013023,1.000000,1.035041,0.991121,1.021419
0.0200,0.0100,0.000000,1.011788,1.012452,1.000000,1.034679,0.991893,1.021604
0.0200,0.0200,0.000000,1.012443,1.013346,1.000000,1.034587,0.991178,1.020760
0.0200,0.0300,0.000000,1.011265,1.012062,1.000000,1.032542,0.988592,1.019892
0.0200,0.0400,0.000000,1.012323,1.013190,1.000000,1.034750,0.990105,1.020992
0.0200,0.0500,0.000000,1.011947,1.012818,1.000000,1.033830,0.989185,1.020442
0.0200,0.0600,0.000000,1.011496,1.012364,1.000000,1.032768,0.988236,1.019835
0.0200,0.0700,0.000000,1.012826,1.013675,1.000000,1.035278,0.991662,1.021084
0.0200,0.0800,0.000000,1.011793,1.012719,1.000000,1.033291,0.988113,1.020014
0.0200,0.0900,0.000000,1.013095,1.013999,1.000000,1.035777,0.991550,1.021272
0.0200,0.1000,0.000000,1.012109,1.013088,1.000000,1.033775,0.988252,1.020151
0.0200,0.1100,0.000000,1.013374,1.014331,1.000000,1.036230,0.991660,1.021418
0.0200,0.1200,0.000000,1.012387,1.013424,1.000000,1.034201,0.988289,1.020263
0.0200,0.1300,0.000000,1.011829,1.012858,1.000000,1.032895,0.987124,1.019520
0.0200,0.1400,0.000000,1.012487,1.013455,1.000000,1.035040,0.989329,1.021036
0.0200,0.1500,0.000000,1.011769,1.012715,1.000000,1.033241,0.988073,1.019990
0.0200,0.1600,0.000000,1.012395,1.013401,1.000000,1.034534,0.988730,1.020613
0.0200,0.1700,0.000000,1.011796,1.012792,1.000000,1.033122,0.987505,1.019808
0.0200,0.1800,0.000000,1.012361,1.013415,1.000000,1.034274,0.988108,1.020356
0.0200,0.1900,0.000000,1.012964,1.014079,1.000000,1.035514,0.988848,1.020956
0.0200,0.2000,0.000000,1.012234,1.013332,1.000000,1.033792,0.987349,1.019975
0.0200,0.2100,0.000000,1.012742,1.013898,1.000000,1.034818,0.987908,1.020457
0.0200,0.2200,0.000000,1.013281,1.014499,1.000000,1.035922,0.988563,1.020988
0.0200,0.2300,0.000000,1.012644,1.013855,1.000000,1.034422,0.987117,1.020120
0.0200,0.2400,0.000000,1.013090,1.014360,1.000000,1.035309,0.987611,1.020530
0.0200,0.2500,0.000000,1.013437,1.014769,1.000000,1.036007,0.987812,1.020844
0.0200,0.2600,0.000000,1.013801,1.015197,1.000000,1.036763,0.988053,1.021197
0.0200,0.2700,0.000000,1.014204,1.015669,1.000000,1.037591,0.988409,1.021586
0.0200,0.2800,0.000000,1.014604,1.016141,1.000000,1.038401,0.988772,1.021959
0.0200,0.2900,0.000000,1.014923,1.016532,1.000000,1.039055,0.988924,1.022254
0.0200,0.3000,0.000000,1.015116,1.016775,1.000000,1.039365,0.989162,1.022361
0.0200,0.3100,0.000000,1.015335,1.017062,1.000000,1.039805,0.989180,1.022547
0.0200,0.3200,0.000000,1.015413,1.017202,1.000000,1.039924,0.988916,1.022554
0.0200,0.3300,0.000000,1.015588,1.017451,1.000000,1.040288,0.988813,1.022700
0.0200,0.3400,0.000000,1.015717,1.017651,1.000000,1.040525,0.988690,1.022771
0.0200,0.3500,0.000000,1.015683,1.017680,1.000000,1.040410,0.988196,1.022652
0.0200,0.3600,0.000000,1.016854,1.019181,1.000000,1.043390,0.986542,1.024109
0.0200,0.3700,0.000000,1.016830,1.019229,1.000000,1.043270,0.986158,1.023976
0.0200,0.3800,0.000000,1.016637,1.019100,1.000000,1.042776,0.985372,1.023632
0.0200,0.3900,0.000000,1.017674,1.020332,1.000000,1.045185,0.986930,1.024937
0.0200,0.4000,0.000000,1.017476,1.020201,1.000000,1.044685,0.986270,1.024598
0.0200,0.4100,0.000000,1.033467,1.036192,1.000000,1.081946,1.027381,1.047451
0.0200,0.4200,0.000000,1.030762,1.033329,1.000000,1.075179,1.025095,1.043680
0.0200,0.4300,0.000000,1.027557,1.029904,1.000000,1.067187,1.022386,1.039162
0.0200,0.4400,0.000000,1.023028,1.024949,1.000000,1.055838,1.018470,1.032590
0.0200,0.4500,0.000000,1.020512,1.022251,1.000000,1.049640,1.016395,1.029015
0.0200,0.4600,0.000000,1.018836,1.020316,1.000000,1.045167,1.014745,1.026215
0.0200,0.4700,0.000000,1.017567,1.019007,1.000000,1.042125,1.013779,1.024488
0.0200,0.4800,0.000000,1.015501,1.016784,1.000000,1.037095,1.012109,1.021554
0.0200,0.4900,0.000000,1.013527,1.014651,1.000000,1.032297,1.010515,1.018741
0.0200,0.5000,0.000000,1.012833,1.013859,1.000000,1.030702,1.009975,1.017814
0.0300,0.0000,0.000000,1.011670,1.012421,1.000000,1.033800,0.990218,1.020778
0.0300,0.0100,0.000000,1.011265,1.012013,1.000000,1.032825,0.989398,1.020215
0.0300,0.0200,0.000000,1.012219,1.012923,1.000000,1.035572,0.992315,1.022032
0.0300,0.0300,0.000000,1.012825,1.013783,1.000000,1.035398,0.991417,1.021150
0.0300,0.0400,0.000000,1.011604,1.012442,1.000000,1.033219,0.988888,1.020201
0.0300,0.0500,0.000000,1.011329,1.012172,1.000000,1.032505,0.988293,1.019761
0.0300,0.0600,0.000000,1.012761,1.013596,1.000000,1.035227,0.991755,1.021108
0.0300,0.0700,0.000000,1.011751,1.012661,1.000000,1.033272,0.988319,1.020052
0.0300,0.0800,0.000000,1.013080,1.013970,1.000000,1.035811,0.991766,1.021333
0.0300,0.0900,0.000000,1.012561,1.013444,1.000000,1.034600,0.990740,1.020647
0.0300,0.1000,0.000000,1.013338,1.014284,1.000000,1.036276,0.991678,1.021501
0.0300,0.1100,0.000000,1.012433,1.013459,1.000000,1.034407,0.988589,1.020430
0.0300,0.1200,0.000000,1.011894,1.012913,1.000000,1.033144,0.987471,1.019711
0.0300,0.1300,0.000000,1.013105,1.014095,1.000000,1.035469,0.990881,1.020912
0.0300,0.1400,0.000000,1.012004,1.012954,1.000000,1.033995,0.988561,1.020489
0.0300,0.1500,0.000000,1.013106,1.014019,1.000000,1.035900,0.991810,1.021394
0.0300,0.1600,0.000000,1.011917,1.012904,1.000000,1.033505,0.987985,1.020076
0.0300,0.1700,0.000000,1.012514,1.013562,1.000000,1.034734,0.988606,1.020665
