s_L,s_R,b2,b1,b0,a3,a2,a1,a0
0.0100,0.4100,0.000000,1.137180,0.911349,1.000000,0.045871,0.000000,0.000000
0.0100,0.4200,0.000000,1.151968,0.904818,1.000000,0.045353,0.000000,0.000000
0.0100,0.4300,0.000000,1.165314,0.899081,1.000000,0.044716,0.000001,0.000000
0.0100,0.4400,0.000000,1.165548,0.898624,1.000000,0.046616,0.000000,0.000000
0.0100,0.4500,0.000000,1.182388,0.892001,1.000000,0.044179,0.000001,0.000000
0.0100,0.4600,0.000000,1.177507,0.893971,1.000000,0.046476,0.000000,0.000000
0.0100,0.4700,0.000000,1.186843,0.890584,1.000000,0.044811,0.000000,0.000000
0.0100,0.4800,0.000000,1.186037,0.891302,1.000000,0.045225,0.000000,0.000000
0.0100,0.4900,0.000000,1.177939,0.895363,1.000000,0.046309,0.000000,0.000000
0.0100,0.5000,0.000000,1.198832,0.883823,1.000000,0.049709,0.000000,0.000000
0.0200,0.0000,0.000000,1.462273,0.726053,1.000000,0.094624,0.000000,0.000000
0.0200,0.0100,0.000000,1.440295,0.731744,1.000000,0.105307,0.000000,0.000000
0.0200,0.0200,0.000000,1.458975,0.727056,1.000000,0.095997,0.000000,0.000000
0.0200,0.0300,0.000000,1.469782,0.723138,1.000000,0.093179,0.000000,0.000000
0.0200,0.0400,0.000000,1.491243,0.715579,1.000000,0.086843,0.000000,0.000000
0.0200,0.0500,0.000000,1.490121,0.715933,1.000000,0.086990,0.000000,0.000000
0.0200,0.0600,0.000000,1.486588,0.717435,1.000000,0.087769,0.000000,0.000000
0.0200,0.0700,0.000000,1.482096,0.719325,1.000000,0.088704,0.000000,0.000000
0.0200,0.0800,0.000000,1.496118,0.714713,1.000000,0.083968,0.000000,0.000000
0.0200,0.0900,0.000000,1.489472,0.717399,1.000000,0.085021,0.000000,0.000000
0.0200,0.1000,0.000000,1.502099,0.713485,1.000000,0.080388,0.000000,0.000000
0.0200,0.1100,0.000000,1.493911,0.716869,1.000000,0.081538,0.000000,0.000000
0.0200,0.1200,0.000000,1.505489,0.713466,1.000000,0.077013,0.000000,0.000000
0.0200,0.1300,0.000000,1.495793,0.717575,1.000000,0.078251,0.000000,0.000000
0.0200,0.1400,0.000000,1.504174,0.715479,1.000000,0.074289,0.000000,0.000000
